State;Sex;Title;Reward;Description;Link;Additional;Fields of study
Virginia;Female;Virginia Commonwealth Award;Varies;"
The purpose of the Virginia Commonwealth Award is to assist undergraduate students with financial need and graduate students to pay part of their college costs. Funds may be used for need-based grants to Virginia resident undergraduates or for grants or assistantships to graduate students (both in-state and out-of-state)";http://www.schev.edu/index/tuition-aid/financialaid/state-student-aid/virginia-commonwealth-award-program;Generic;Any Major
Virginia;Female;Virginia Guaranteed Assistance Program;Varies;"
The purpose of the Virginia Guaranteed Assistance Program (VGAP) is to provide an incentive to financially needy students now attending elementary and secondary school in Virginia to raise their expectations and their academic performance and to consider higher education an achievable objective in their future.";http://www.schev.edu/index/tuition-aid/financialaid/state-student-aid/virginia-guaranteed-assistance-program;Generic;Any Major
Virginia;Female;Virginia Military Survivors and Dependents Education Program;Varies;"
The Virginia Military Survivors and Dependents Education Program (VMSDEP) is a Commonwealth of Virginia program which provides education benefits to spouses and children of military service members killed, missing in action, taken prisoner, or who became at least 90 percent disabled as a result of military service in an armed conflict.";https://www.dvs.virginia.gov/education-employment/virginia-military-survivors-and-dependents-education-program-2-2/;Generic;Any Major
Virginia;Female;Virginia Nursing Scholarships;Varies;"
The State of Virginia provides several scholarships to encourage the education of nurses to serve in underserved regions across the state.";http://www.vdh.virginia.gov/healthpolicy/primarycare/incentives/nursing/index.htm;Generic;Any Major
Virginia;Female;Virginia Part-Time Assistance Program;Varies;The purpose of the Virginia Part-Time Assistance Program is to assist undergraduate, part-time students with financial need to pay part of their college costs. The funds are appropriated directly to each of Virginia's community colleges. Funds may be used for need-based grants to Virginia resident undergraduates enrolled part-time.;http://www.schev.edu/docs/default-source/tuition-aid-section/financial-aid/ptap-fact-sheet.pdf;Generic;Any Major
Virginia;Female;Washington State Financial Aid;Varies;"
Washington state provides a combined application for various state-funded aid programs.";http://www.readysetgrad.org/wasfa;Generic;Any Major
Washington;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Washington;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Washington;Male;Horatio Alger State Scholarship - Washington;$10,000;"
The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.";https://scholars.horatioalger.org/scholarships/about-our-scholarship-programs/state-scholarships/2018-horatio-alger-state-scholarship-programs/;Generic;Any Major
Washington;Male;American Indian Endowed Scholarship;$2,000;The American Indian Endowed Scholarship helps financially needy students with close social and cultural ties to an in-state American Indian community pursue undergraduate and graduate studies.;http://www.readysetgrad.org/college/american-indian-endowed-scholarship;Generic;Any Major
Washington;Male;Washington State PTA Scholarship;$3,000;"
Washington State PTA offers three (3) $3,000 scholarships and one (1) $1,000 scholarship to graduating seniors from Washington state public high schools with an active PTA, who will be starting college (either 2-year or 4-year) in the fall.";https://www.wastatepta.org/events-programs/scholarship-program/;Generic;Any Major
Washington;Male;Pacific Northwest Scholarship;Varies;"
This scholarship is available to UNCF students who are permanent residents in the states of Oregon or Washington.";https://scholarships.uncf.org/;Generic;Any Major
Washington;Male;Rhonda J. B. O'Leary Memorial Scholarship;"$2,000
";"
A one-year scholarship for an amount up to $2,000 will be awarded to an undergraduate or graduate student attending an accredited school within the State of Washington to earn a degree in Accounting.";http://www.efwa.org/scholarships_undergraduate.php;Generic;"
Finance/Accounting"
Washington;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Washington;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Washington;Female;Horatio Alger State Scholarship - Washington;$10,000;"
The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.";https://scholars.horatioalger.org/scholarships/about-our-scholarship-programs/state-scholarships/2018-horatio-alger-state-scholarship-programs/;Generic;Any Major
Washington;Female;American Indian Endowed Scholarship;$2,000;The American Indian Endowed Scholarship helps financially needy students with close social and cultural ties to an in-state American Indian community pursue undergraduate and graduate studies.;http://www.readysetgrad.org/college/american-indian-endowed-scholarship;Generic;Any Major
Washington;Female;Washington State PTA Scholarship;$3,000;"
Washington State PTA offers three (3) $3,000 scholarships and one (1) $1,000 scholarship to graduating seniors from Washington state public high schools with an active PTA, who will be starting college (either 2-year or 4-year) in the fall.";https://www.wastatepta.org/events-programs/scholarship-program/;Generic;Any Major
Washington;Female;Pacific Northwest Scholarship;Varies;"
This scholarship is available to UNCF students who are permanent residents in the states of Oregon or Washington.";https://scholarships.uncf.org/;Generic;Any Major
Washington;Female;Rhonda J. B. O'Leary Memorial Scholarship;"$2,000
";"
A one-year scholarship for an amount up to $2,000 will be awarded to an undergraduate or graduate student attending an accredited school within the State of Washington to earn a degree in Accounting.";http://www.efwa.org/scholarships_undergraduate.php;Generic;"
Finance/Accounting"
West Virginia;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
West Virginia;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
West Virginia;Male;Horatio Alger State Scholarship - West Virginia;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;https://scholars.horatioalger.org/scholarships/about-our-scholarship-programs/state-scholarships/2018-horatio-alger-state-scholarship-programs/;Generic;Any Major
West Virginia;Male;West Virginia Higher Education Grant;Varies;"
The West Virginia Higher Education Grant is a need-based financial aid program designed to ensure West Virginia students with financial need are given an opportunity to pursue post-secondary education.";https://www.cfwv.com/Financial_Aid_Planning/Scholarships/Scholarships_and_Grants/West_Virginia_Higher_Education_Grant.aspx;Generic;Any Major
